"modelo","familia","parametro_principal","prior_principal","estimacion_principal","ICr95_principal_inferior","ICr95_principal_superior","prior_alternativo","estimacion_alternativa","ICr95_alternativo_inferior","ICr95_alternativo_superior","diferencia_absoluta","diferencia_relativa","cambio_direccion","Rhat_max_alternativo","ESS_bulk_min_alternativo","ESS_tail_min_alternativo","divergencias_alternativo"
"Parto vaginal","Bernoulli-logit","b_menor15","Intercepto Normal(0,3); grupo Normal(0,1.5)",0.448610243124472,0.223015726285163,0.673772379694221,"Intercepto Normal(0,5); grupo Normal(0,2.5)",0.448154098039494,0.224475763823468,0.672169808922313,0.00045614508497771,0.00101679596480179,FALSE,1.00084565299062,4168.26718734798,3382.81491389976,0
"Rezago escolar binario","Bernoulli-logit","b_menor15","Intercepto Normal(0,3); grupo Normal(0,1.5)",0.969696654628193,0.746615814105446,1.19622962756431,"Intercepto Normal(0,5); grupo Normal(0,2.5)",0.972066990250385,0.752879877036414,1.18239920917955,0.00237033562219235,0.00244440940461036,FALSE,1.00142208742892,4453.75309599325,3748.70807569083,0
"Control prenatal adecuado: sí/no","Bernoulli-logit","b_menor15","Intercepto Normal(0,3); grupo Normal(0,1.5)",-0.337142771663025,-0.543734863150955,-0.126017125884073,"Intercepto Normal(0,5); grupo Normal(0,2.5)",-0.338208893779436,-0.553641806207891,-0.1221389349174,0.00106612211641099,0.00316222741823036,FALSE,1.00147195752182,4432.27801754492,3512.10136400279,0
"Adecuación ordinal del control prenatal","Ordinal cumulative-logit","b_menor15","Grupo Normal(0,1.5); thresholds Student-t(3,0,2.5)",-0.376186673871923,-0.578208837853882,-0.176248851177371,"Grupo Normal(0,2.5); thresholds Student-t(3,0,2.5)",-0.378936241245476,-0.578975266169619,-0.181496464836491,0.00274956737355281,0.00730905043831758,FALSE,1.0011047233146,3264.77103492502,3711.36849311531,0
"gaussiano_no_ajustado","Gaussiano","b_menor15","Intercepto Normal(5,3); grupo Normal(0,1.5); sigma Exp(1)",-0.560327534929766,-0.847568040362549,-0.269412298299179,"Intercepto Normal(5,5); grupo Normal(0,2.5); sigma Exp(0.5)",-0.558375993629327,-0.842942659725112,-0.278388563687621,0.00195154130043895,0.00348285811205685,FALSE,1.00122770955048,7378.69631951343,5298.48664417019,0
"gaussiano_ajustado","Gaussiano","b_menor15","Intercepto Normal(5,3); grupo Normal(0,1.5); EG Normal(0,0.5); sigma Exp(1)",-0.544859612050207,-0.821428203173425,-0.273471497483015,"Intercepto Normal(5,5); grupo Normal(0,2.5); EG Normal(0,1); sigma Exp(0.5)",-0.543942063007635,-0.817063402619326,-0.273116566889051,0.000917549042571908,0.00168401001336718,FALSE,1.00208779555543,10087.2555365658,4961.51464449569,0
"poisson_no_ajustado","Poisson","b_menor15","Intercepto Normal(log(5),1); grupo Normal(0,0.5)",-0.103498674499379,-0.148799166243728,-0.0582721488399468,"Intercepto Normal(log(5),1.5); grupo Normal(0,1)",-0.102925521490503,-0.149206102921007,-0.0577192227476248,0.000573153008875935,0.00553778115177093,FALSE,1.00100054867784,4668.11824592791,3532.82182135517,0
"poisson_ajustado","Poisson","b_menor15","Intercepto Normal(log(5),1); grupo Normal(0,0.5); EG Normal(0,0.1)",-0.101726439735751,-0.147961443208737,-0.0566534352588177,"Intercepto Normal(log(5),1.5); grupo Normal(0,1); EG Normal(0,0.2)",-0.101928120100579,-0.146073655761086,-0.0583966692765295,0.000201680364827594,0.00198257567404785,FALSE,0.999944801090134,6171.4980617578,5148.57596262149,0
"negbin_no_ajustado","Binomial negativa","b_menor15","Intercepto Normal(log(5),1); grupo Normal(0,0.5); shape Exp(1)",-0.103188389174923,-0.156407028507323,-0.0504268543527601,"Intercepto Normal(log(5),1.5); grupo Normal(0,1); shape Exp(0.5)",-0.103050516877544,-0.156545973206472,-0.0497741495532854,0.000137872297378938,0.00133612219825643,FALSE,1.00138965786613,6201.34393662664,5059.52295922938,0
"negbin_ajustado","Binomial negativa","b_menor15","Intercepto Normal(log(5),1); grupo Normal(0,0.5); EG Normal(0,0.1); shape Exp(1)",-0.101834622222579,-0.154227702180431,-0.0509366590741146,"Intercepto Normal(log(5),1.5); grupo Normal(0,1); EG Normal(0,0.2); shape Exp(0.5)",-0.102113463926854,-0.153729157828997,-0.0509668558471005,0.000278841704274654,0.00273818175183281,FALSE,1.00108340893143,8332.62739857763,5472.57867293386,0
