"modelo","familia","parametro","estimacion","ICr95_inferior","ICr95_superior","Rhat","ESS_bulk","ESS_tail"
"Compromiso del bienestar fetal","Bernoulli-logit","b_menor15",-0.59633994537223,-1.03439605682819,-0.200394009560001,1.00125597416475,6047.29822081845,5900.08704363854
"Trastorno hipertensivo","Bernoulli-logit","b_Intercept",-1.49666910137279,-1.56036137029431,-1.43451074167245,1.00035900375173,5263.24413967027,4995.61288917829
"Trastorno hipertensivo","Bernoulli-logit","b_menor15",-0.297077469020653,-0.597917221792422,-0.0049796785862993,1.00057659693339,5858.06821189437,4945.43136688931
"Parto vaginal","Bernoulli-logit","b_Intercept",0.396944769040561,0.348706447253838,0.445503362558153,1.00010271690276,6476.5368936977,6001.49445448998
"Parto vaginal","Bernoulli-logit","b_menor15",0.448610243124472,0.223015726285163,0.673772379694221,1.00014751392066,6137.66910337253,5943.77583792465
"Rezago escolar binario","Bernoulli-logit","b_Intercept",-1.616949474501,-1.68155291825343,-1.55236897401002,1.00015033613394,6149.9500122733,5698.0636830616
"Rezago escolar binario","Bernoulli-logit","b_menor15",0.969696654628193,0.746615814105446,1.19622962756431,1.00020219212783,6868.6308938358,6187.19814183166
"Control prenatal adecuado: sí/no","Bernoulli-logit","b_Intercept",0.474630734356022,0.424398677045973,0.525126023513962,1.00014764496158,6785.54569168956,5479.12480448276
"Control prenatal adecuado: sí/no","Bernoulli-logit","b_menor15",-0.337142771663025,-0.543734863150955,-0.126017125884073,1.00137901611493,7148.18139509854,6048.50656408433
"Adecuación ordinal del control prenatal","Ordinal cumulative-logit","b_menor15",-0.376186673871923,-0.578208837853882,-0.176248851177371,1.00028347316127,7077.98074556546,6502.87115044141
"Adecuación ordinal del control prenatal","Ordinal cumulative-logit","b_Intercept[1]",-3.60611714685172,-3.7549319064556,-3.46217528490064,1.00092571179629,4181.9341322682,5216.8421773123
"Adecuación ordinal del control prenatal","Ordinal cumulative-logit","b_Intercept[2]",-1.85072490731329,-1.91970698173167,-1.78321155697528,1.00000301344964,7491.4585173949,8221.23273997694
"Adecuación ordinal del control prenatal","Ordinal cumulative-logit","b_Intercept[3]",-0.475576301730266,-0.525387971018799,-0.426454283319852,1.0004461369037,13153.1747448202,8617.10690915748
"gaussiano_no_ajustado","Gaussiano","b_Intercept",5.74347042513975,5.67843838141123,5.81132020047343,1.00026042609994,7758.97805004811,5320.25935901769
"gaussiano_no_ajustado","Gaussiano","b_menor15",-0.560327534929766,-0.847568040362549,-0.269412298299179,1.00096423574872,8348.87608586839,5513.50129917853
"gaussiano_no_ajustado","Gaussiano","sigma",2.76562187105418,2.71946659172337,2.81390410853025,1.00068296432318,7722.47717998327,5356.19452339868
"gaussiano_ajustado","Gaussiano","b_Intercept",-3.43915363249096,-4.25125677095912,-2.65004748025071,1.00015655339727,10788.3950709571,5824.72576624126
"gaussiano_ajustado","Gaussiano","b_menor15",-0.544859612050207,-0.821428203173425,-0.273471497483015,1.00032938028717,10464.4461355773,5964.52458328035
"gaussiano_ajustado","Gaussiano","b_edad_gestacional_rn",0.247787202317584,0.226439864465634,0.26961908832341,1.00006038318713,10730.1567730133,6008.68409849146
"gaussiano_ajustado","Gaussiano","sigma",2.66858216203862,2.6254264464538,2.71357445415864,1.0005405356547,9967.51495555529,5931.78741724642
"poisson_no_ajustado","Poisson","b_Intercept",1.74808559150327,1.73770545419836,1.75813919060969,1.00076351776562,5302.58490585207,4932.04119670572
"poisson_no_ajustado","Poisson","b_menor15",-0.103498674499379,-0.148799166243728,-0.0582721488399468,1.00052666133493,5339.63269723541,4568.04595131343
"poisson_ajustado","Poisson","b_Intercept",-0.0271364799343211,-0.160271782011898,0.107558246887948,1.00058650705217,8036.32284305078,5713.23218084195
"poisson_ajustado","Poisson","b_menor15",-0.101726439735751,-0.147961443208737,-0.0566534352588177,1.00101263658436,5783.78880692526,4842.69383745334
"poisson_ajustado","Poisson","b_edad_gestacional_rn",0.047650650478186,0.0440481761565908,0.0511799510831928,1.00074958700934,8083.63704138505,5839.21183237667
"negbin_no_ajustado","Binomial negativa","b_Intercept",1.74814901969069,1.73622441277887,1.75984179142356,1.0009229705022,8535.400022936,5838.38492156109
"negbin_no_ajustado","Binomial negativa","b_menor15",-0.103188389174923,-0.156407028507323,-0.0504268543527601,1.0003937724314,7626.13243665902,5381.14348006178
"negbin_no_ajustado","Binomial negativa","shape",14.6908271532572,13.0211206268772,16.6379393993647,1.00140364502899,7906.51159238366,5168.33832625533
"negbin_ajustado","Binomial negativa","b_Intercept",-0.0418487325197391,-0.193718606208064,0.114810283773864,0.999925130618353,11341.7895659435,6410.45417780694
"negbin_ajustado","Binomial negativa","b_menor15",-0.101834622222579,-0.154227702180431,-0.0509366590741146,1.00060395681774,8378.79030839174,5239.50891596176
"negbin_ajustado","Binomial negativa","b_edad_gestacional_rn",0.0480527455802576,0.0439080234950573,0.0520942099623865,0.999850236830554,11436.8180680105,6303.14008774583
"negbin_ajustado","Binomial negativa","shape",19.3525234203026,16.8555266503574,22.5013436564811,1.00007330003407,8309.60168648125,5400.26682352857
