"modelo","familia","estadistico","observado","pred_mediana","pred_ICr95_inferior","pred_ICr95_superior","observado_fuera_ICr95"
"gaussiano_ajustado","Gaussiano","cuantil_0.25",4,3.85417476205812,3.74236077446469,3.96500351251201,TRUE
"gaussiano_ajustado","Gaussiano","cuantil_0.5",6,5.72824200587476,5.63449886638086,5.82702128148963,TRUE
"gaussiano_ajustado","Gaussiano","cuantil_0.75",8,7.58908074201919,7.47268753245422,7.70120228391651,TRUE
"gaussiano_ajustado","Gaussiano","cuantil_0.95",10,10.2474537569499,10.0899684671823,10.4182518366254,TRUE
"gaussiano_ajustado","Gaussiano","cuantil_0.99",13,12.118197353828,11.8436303228202,12.3857649481459,TRUE
"gaussiano_ajustado","Gaussiano","frecuencia_valor_5",0.163411078717201,0.138192419825073,0.129446064139942,0.146501457725948,TRUE
"gaussiano_ajustado","Gaussiano","frecuencia_valor_8",0.117930029154519,0.103061224489796,0.0957725947521866,0.111082361516035,TRUE
"gaussiano_ajustado","Gaussiano","frecuencia_valor_12",0.0118075801749271,0.0110787172011662,0.00845116618075802,0.0135604956268222,FALSE
"poisson_no_ajustado","Poisson","media",5.71353864032539,5.71346600813481,5.62851902963393,5.79052876234747,FALSE
"poisson_no_ajustado","Poisson","varianza",7.6630972248615,5.7278210119113,5.50726615420961,5.9300678063656,TRUE
"poisson_no_ajustado","Poisson","proporcion_cero",0.0271644392794887,0.00334108076699593,0.00203370133643231,0.0046520918070889,TRUE
"poisson_no_ajustado","Poisson","proporcion_predicha_negativa",0,0,0,0,FALSE
"poisson_no_ajustado","Poisson","minimo",0,0,0,0,FALSE
"poisson_no_ajustado","Poisson","maximo",20,17,15,19,TRUE
"poisson_no_ajustado","Poisson","cuantil_0.01",0,1,1,1,TRUE
"poisson_no_ajustado","Poisson","cuantil_0.05",1,2,2,2,TRUE
"poisson_no_ajustado","Poisson","cuantil_0.25",4,4,4,4,FALSE
"poisson_no_ajustado","Poisson","cuantil_0.5",6,6,5,6,FALSE
"poisson_no_ajustado","Poisson","cuantil_0.75",8,7,7,7,TRUE
"poisson_no_ajustado","Poisson","cuantil_0.95",10,10,10,10,FALSE
"poisson_no_ajustado","Poisson","cuantil_0.99",13,12,12,12,TRUE
"poisson_no_ajustado","Poisson","frecuencia_valor_5",0.163131900058106,0.167635095874492,0.158915601394538,0.176496223126089,FALSE
"poisson_no_ajustado","Poisson","frecuencia_valor_8",0.1178094131319,0.0928239395700174,0.0857059848925044,0.0999418942475305,TRUE
